FID,Shape,AREA,NEW,FULL,Area,District,2018ppl,2018income,2018power,2018datanum,2019ppl,2019income,2019power,2019datanum,2020ppl,2020income,2020power,2020datanum
183,Polygon,119010.5142,6300400007,臺北市中山區聚盛里,中山區,聚盛里,4302,1621977,2576568,"3,047",4216,1404107,2451864,"3,047",4213,1120176,2618622,"3,040"
171,Polygon,128903.4301,6300400009,臺北市中山區聚葉里,中山區,聚葉里,4088,2069461,2212128,"2,471",4064,1612370,2124716,"2,483",4019,1667460,2352197,"2,473"
89,Polygon,2501621.21,6300400013,臺北市中山區劍潭里,中山區,劍潭里,3904,1402968,9145,3,3821,1232013,8852,4,3773,1250591,10449,5
224,Polygon,247544.9561,6300400032,臺北市中山區興亞里,中山區,興亞里,5458,3268189,3376373,"2,963",5402,2766807,3204481,"2,954",5469,2733689,3383138,"2,947"
197,Polygon,68124.64809,6300400035,臺北市中山區龍洲里,中山區,龍洲里,5092,2257254,1719460,"1,838",5066,1979430,1637670,"1,835",5007,1920619,1958647,"1,832"
304,Polygon,215014.798,6300500031,臺北市中正區三愛里,中正區,三愛里,8971,6251925,61067,27,9085,5937247,66327,21,156030,5650130,65449,23
290,Polygon,171784.1627,6300500029,臺北市中正區文北里,中正區,文北里,5817,6656677,2370134,"1,707",5807,5729473,2299484,"1,707",2613,5678137,2493082,"1,703"
410,Polygon,106872.2792,6300500003,臺北市中正區文盛里,中正區,文盛里,2354,1088609,1135752,"1,017",2546,1021730,1097812,"1,016",8471,1066555,1254647,"1,009"
310,Polygon,121328.5877,6300500030,臺北市中正區文祥里,中正區,文祥里,8550,4762607,14711,6,8579,4439436,16400,6,3041,4321629,16577,7
413,Polygon,410550.9845,6300500001,臺北市中正區水源里,中正區,水源里,3077,1181706,1498650,"1,393",3081,1054351,1400388,"1,384",6220,1068466,1590205,"1,387"
361,Polygon,140985.1532,6300500011,臺北市中正區永功里,中正區,永功里,6471,2280993,2003630,"2,144",6302,1867505,1872859,"2,141",4876,1960794,2049668,"2,141"
362,Polygon,94837.25507,6300500012,臺北市中正區永昌里,中正區,永昌里,5119,1392437,1787754,"1,840",4981,1087030,1658277,"1,836",3900,1117289,1869288,"1,828"
233,Polygon,314028.0776,6300500023,臺北市中正區光復里,中正區,光復里,4040,1970805,2036240,"1,911",3892,1737634,1975271,"1,906",4400,1725031,2145665,"1,895"
279,Polygon,164843.2867,6300500027,臺北市中正區幸市里,中正區,幸市里,4580,4422285,2777859,"2,081",4532,4456620,2667311,"2,074",5756,4492373,2832249,"2,074"
263,Polygon,288101.6442,6300500026,臺北市中正區幸福里,中正區,幸福里,5930,2778586,2536849,"1,920",5816,2534506,2390702,"1,918",6290,2469195,2610447,"1,908"
349,Polygon,101067.3426,6300500014,臺北市中正區忠勤里,中正區,忠勤里,6586,1327845,24248,18,6470,954124,25727,20,4035,968471,22460,24
277,Polygon,746310.6689,6300500028,臺北市中正區東門里,中正區,東門里,4150,6236146,1492239,"1,344",4085,8167388,1366617,"1,343",3187,8482093,1534992,"1,330"
373,Polygon,90823.26646,6300500008,臺北市中正區板溪里,中正區,林興里,3372,1415364,1728859,"1,910",3259,1192070,1619335,"1,905",4809,1164163,1927932,"1,890"
406,Polygon,463274.8041,6300500004,臺北市中正區林興里,中正區,板溪里,4796,2419578,1274948,"1,270",4762,1944090,1260828,"1,265",4517,2046511,1404356,"1,263"
393,Polygon,155594.4113,6300500005,臺北市中正區河堤里,中正區,河堤里,4659,2188285,17759,8,4592,1852048,20461,8,2849,1761444,22752,11
316,Polygon,320981.8397,6300500017,臺北市中正區南門里,中正區,南門里,2935,3694189,4760,2,2927,3622294,9326,4,11997,3062896,7622,4
344,Polygon,240371.9096,6300500019,臺北市中正區南福里,中正區,南福里,11413,6307911,3755445,"3,567",11614,5880198,3497877,"3,565",1775,5982024,3923633,"3,555"
282,Polygon,605005.6946,6300500022,臺北市中正區建國里,中正區,建國里,1821,883834,320810,354,1806,768954,304044,345,3124,858776,320034,341
253,Polygon,459964.3391,6300500025,臺北市中正區梅花里,中正區,梅花里,3231,2161835,135386,93,3199,1906946,134677,91,5981,1839579,151201,90
383,Polygon,118848.3624,6300500006,臺北市中正區頂東里,中正區,頂東里,6142,2735946,38029,9,6006,2383557,33307,11,2649,2349742,39849,11
411,Polygon,306350.4254,6300500002,臺北市中正區富水里,中正區,富水里,2704,1101735,730473,803,2719,950522,743691,793,4921,913984,812247,793
333,Polygon,82430.18234,6300500015,臺北市中正區廈安里,中正區,廈安里,4946,1888267,NA,NA,5003,1577897,2463,1,3418,1556084,3563,3
314,Polygon,83118.6419,6300500016,臺北市中正區愛國里,中正區,愛國里,3524,1396271,12501,4,3469,1236882,12399,4,9878,1209373,14672,5
323,Polygon,156615.3747,6300500021,臺北市中正區新營里,中正區,新營里,10183,5238475,30062,19,9995,4595061,31675,19,5731,4772212,30053,21
395,Polygon,160157.0872,6300500007,臺北市中正區網溪里,中正區,網溪里,5937,2604195,1084458,"1,109",5881,2209373,1031425,"1,113",3481,2168639,1245134,"1,112"
239,Polygon,629831.7744,6300500024,臺北市中正區黎明里,中正區,黎明里,3470,1769657,563076,407,3478,1568567,544929,404,5546,1482847,539997,404
372,Polygon,111653.1771,6300500009,臺北市中正區螢圃里,中正區,螢圃里,5632,2439712,456293,455,5608,2332853,336368,456,4295,2127213,528710,456
370,Polygon,228041.3731,6300500010,臺北市中正區螢雪里,中正區,螢雪里,4455,1600608,8242,5,4442,1328611,9607,7,3568,1298047,10213,7
343,Polygon,160836.5359,6300500018,臺北市中正區龍光里,中正區,龍光里,3744,1630645,1009918,990,3667,1387118,948048,977,5829,1500003,1069913,976
322,Polygon,217699.7366,6300500020,臺北市中正區龍福里,中正區,龍福里,6285,2662579,1806879,"1,740",6090,2274691,1676749,"1,719",4119,2249260,1831419,"1,697"
347,Polygon,93719.63213,6300500013,臺北市中正區龍興里,中正區,龍興里,4466,1413343,888833,965,4297,1144735,782816,933,5643,1102691,879502,931
