"Area","District","X2018income","X2018power","X2018datanum","X2019income","X2019power","X2019datanum","X2020income","X2020power","X2020datanum","power_per_house_2018","power_per_house_2019","power_per_house_2020"
"內湖區","石潭里",2424943,820772,683,2072778,807080,687,2091079,906894,691,1201.71595900439,1174.78893740902,1312.43704775687
"內湖區","安泰里",1771228,1547159,1814,1267680,1483828,1816,1300580,1603497,1819,852.899117971334,817.0859030837,881.526663001649
"內湖區","安湖里",3150332,2362533,2187,2607184,2283446,2189,2584290,2541528,2186,1080.26200274348,1043.14572864322,1162.63860933211
"內湖區","行善里",2357576,9318,1,2031927,7254,2,2078427,6567,3,9318,3627,2189
"內湖區","西安里",2790972,2882,1,2283331,6324,3,2403534,5377,3,2882,2108,1792.33333333333
"內湖區","西康里",5066966,34409,17,4327210,41697,20,4328331,40504,23,2024.05882352941,2084.85,1761.04347826087
"內湖區","西湖里",2759499,20504,9,2179328,16816,10,2107689,16202,11,2278.22222222222,1681.6,1472.90909090909
"內湖區","秀湖里",3846729,2780123,2327,3578669,2607879,2329,3317539,2869281,2328,1194.72410829394,1119.74194933448,1232.50902061856
"內湖區","明湖里",2067653,1542048,1483,1752678,1439115,1481,1745689,1611130,1480,1039.8165879973,971.718433490885,1088.60135135135
"內湖區","東湖里",2536648,2408394,2365,1889790,2333120,2365,2027862,2543136,2408,1018.34841437632,986.520084566596,1056.1196013289
"內湖區","金湖里",8315905,5284392,3735,8168564,4886945,3732,7789300,5378645,3727,1414.83052208835,1309.47079314041,1443.15669439227
"內湖區","金瑞里",2439534,1095098,1199,2025541,1038553,1194,2079786,1207355,1210,913.342785654712,869.809882747069,997.814049586777
"內湖區","金龍里",1814336,1669469,1794,1457052,1573019,1805,1527982,1739560,1800,930.584726867336,871.478670360111,966.422222222222
"內湖區","南湖里",3473510,2006762,1840,3015997,2001902,1840,3172758,2259916,1839,1090.63152173913,1087.9902173913,1228.88308863513
"內湖區","康寧里",3954379,2802621,2549,3344056,2624439,2550,3419537,2972683,2554,1099.4982346018,1029.19176470588,1163.93226311668
"內湖區","清白里",5955374,4065658,3722,5331291,3966744,3723,5094999,4492476,3721,1092.33154218162,1065.46978243352,1207.33028755711
"內湖區","港都里",2496267,12248,7,2170392,17598,10,2111668,14994,10,1749.71428571429,1759.8,1499.4
"內湖區","港富里",3989327,14935,8,3368572,26946,10,3553831,30639,13,1866.875,2694.6,2356.84615384615
"內湖區","港華里",4357637,11185,8,3710180,20044,13,3831401,24237,16,1398.125,1541.84615384615,1514.8125
"內湖區","港墘里",2786914,18948,5,2333507,43353,9,2243920,31961,10,3789.6,4817,3196.1
"內湖區","湖元里",2625242,43952,11,2145522,44048,12,2026786,127238,29,3995.63636363636,3670.66666666667,4387.51724137931
